Kevin inventory export,,CLM-2026-04412
Insured,Kevin Godfrey,Carrier,Allstate
Loss address,"123 Main St., Smithtown, NY 11787",Sales tax rate,8.625%

#,Room/Area,Qty,Description,Make · Model,Unit Cost,Ext. Cost,Sales Tax,RCV + Tax,Age,% Depr.,$ Depr.,ACV
1,Kitchen,1,"French door refrigerator, 27 cu ft",LG · LRFVS3006S,2698,2698,232.7,2930.7,3,24,703.37,2227.33
2,Kitchen,1,"Slide-in gas range, 5 burner",Bosch · HGI8056UC,1799,1799,155.16,1954.16,3,24,469,1485.16
3,Kitchen,1,Over-the-range microwave,Whirlpool · WMH31017HS,329,329,28.38,357.38,5,40,142.95,214.43
4,Kitchen,1,"Stand mixer, 5 qt",KitchenAid · KSM150PSER,449.99,449.99,38.81,488.8,6,45,219.96,268.84
5,Kitchen,12,"Dinner plate, stoneware",Fiesta · 0463,14.99,179.88,15.51,195.39,4,50,97.7,97.69
6,Kitchen,1,"Cookware set, 10 piece",All-Clad · D3,799.95,799.95,69,868.95,4,32,278.06,590.89
7,Dining room,1,"Dining table, walnut, seats 6",Article · Seno,1299,1299,112.04,1411.04,2,16,225.77,1185.27
8,Dining room,6,"Dining chair, upholstered",Article · Sede,249,1494,128.86,1622.86,2,16,259.66,1363.2
9,Living room,1,"65"" OLED television",LG · OLED65C3PUA,1796.99,1796.99,154.99,1951.98,1,15,292.8,1659.18
10,Primary bedroom,1,"Ladies' diamond ring, 1.2 ct",,,,,,8,,,

,,,TOTALS,,,10845.81,935.45,11781.26,,,2689.27,9091.99
